Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4
128,Motion -39,762,Markus Göransson,Lilla Edets MCK,4,19:32.3,19:46.2,19:58.3,19:44.9,20:02.8
129,Motion -39,652,Filip Johansson,Tidaholms MK,4,19:35.6,19:17.4,19:25.8,20:51.0,20:01.2
130,Motion 40-49,922,Mikael Sahlin,Lidköpings MCK,4,19:43.8,19:53.4,19:36.4,20:01.2,20:12.6
131,Motion 40-49,972,Jonas Svensson,Hallsbergs MK,4,19:54.7,19:06.7,19:59.9,20:00.0,20:47.9
132,Motion 40-49,988,Martin Bonander,Stenungsunds MS,4,20:17.9,21:07.8,19:15.4,19:57.1,19:57.5
133,Ungdom E1,125,Wiggo Hansson,Tidaholms MK,4,20:23.3,19:05.8,20:17.4,21:04.1,19:55.9
134,Motion 40-49,990,Johan Kjellson,FMCK Skövde,4,20:24.2,18:43.6,20:08.9,20:35.4,20:56.2
135,Ungdom E1,181,Emil Gabrielsson,Skene MS,4,20:29.4,19:17.7,20:05.7,20:47.9,20:18.0
136,Motion 40-49,956,Tommy Jonsson,Mariestads EK,4,20:34.1,20:40.5,19:47.9,19:46.2,20:19.3
137,Motion 40-49,910,Per Eriksson,Hallsbergs MK,4,20:37.7,18:56.7,19:42.1,21:02.8,20:55.9
138,Motion 40-49,907,Jonas Milefors,Kortedala MK,4,20:43.7,19:18.9,19:55.9,20:35.6,20:53.2
139,Ungdom E1,103,Lisa Nyqvist,Stenungsunds MS,4,20:48.7,20:10.5,19:30.6,20:28.2,20:39.2
140,Ungdom E1,107,Thure Rudklint,Oskarshamns MSK,4,20:57.5,19:51.8,19:55.6,20:55.4,20:14.5
141,Ungdom E1,126,Marwin Wik,Skene MS,4,20:57.7,20:20.4,19:54.2,20:30.3,20:12.7
142,Motion -39,610,David Hörberg,Försvarsmaktens EK,4,20:58.1,19:16.8,19:52.1,20:48.2,21:00.8
143,Motion 40-49,915,Martin Jonsson,Töreboda MK,4,21:06.7,19:26.0,20:12.8,21:03.6,20:24.2
144,Motion 40-49,945,Oscar Ekdahl,FMCK Borås,4,21:08.8,20:14.1,20:24.5,20:14.7,20:15.4
145,Motion -39,612,Christian Kurist,Falköpings MK,4,21:29.1,19:44.7,20:12.5,20:12.7,21:19.1
146,Motion -39,529,Jacob Emilsson,Kristdala Motorsällskap,4,21:45.1,19:40.4,19:37.2,22:19.5,20:07.9
147,Motion -39,586,Johan Lidén,Eda MK,4,21:57.5,20:06.8,20:25.5,20:45.3,20:39.7
148,Motion 40-49,926,Mark Edvardsson,Alingsås MCK,4,22:09.4,19:46.6,20:19.6,21:12.6,20:50.4
149,Motion -39,515,Gustav Strinne,Edsvära MCK,4,22:09.6,18:49.5,20:59.5,20:12.3,22:08.2
150,Ungdom E1,111,Anton Andersson,Norrahammars MK,4,23:16.5,19:49.0,20:28.1,20:57.4,22:01.8
151,Motion -39,614,Henrik Stråhle,Ma Lerum,4,23:38.5,20:36.4,21:25.0,21:07.0,20:29.9
152,Ungdom E1,199,William Blom,Skene MS,4,24:04.8,20:43.7,20:54.7,21:19.4,21:06.8
153,Ungdom E1,122,Tuva Sahlin Palmstedt,Lidköpings MCK,4,24:26.0,20:39.9,20:17.8,21:31.7,21:56.4
154,Motion 40-49,912,Peter Berggren,BMK Uddevalla,4,24:41.0,20:29.7,21:08.5,21:26.4,21:36.3
155,Motion -39,511,Oliver Wennerholm,FMCK Borås,4,24:50.2,19:52.4,20:42.4,21:48.5,22:26.8
156,Motion -39,594,Anton Torgin,Donkelo RK,4,25:05.3,21:07.4,21:03.4,21:30.4,21:23.9
157,Motion -39,538,Rasmus Hansson,Skene MS,4,25:17.6,20:36.6,21:37.4,21:11.0,21:52.4
158,Motion 40-49,951,Jonas Eriksson,Mariestads EK,4,25:47.4,20:38.3,21:07.9,21:54.1,22:07.0
159,Motion 40-49,984,Robban Markusson,SMK Vadstena,4,26:01.9,20:25.0,20:40.4,21:55.8,23:00.7
160,Motion 40-49,998,Karl Henrik Johan Wass,Götene MK,4,26:10.0,20:52.5,21:42.9,22:37.9,20:56.5
161,Motion 40-49,906,Anders Billestedt Andersson,Stenungsunds MS,4,26:22.5,20:24.4,21:20.9,22:00.0,22:37.0
162,Motion 40-49,982,Cristoffer Matlak,Alingsås MCK,4,26:56.4,20:37.8,21:51.5,22:04.0,22:23.1
163,Ungdom E1,195,Casper Svahn,Örebro MK,4,28:18.8,19:46.6,21:18.3,23:26.0,23:47.8
164,Ungdom E1,124,Sam Aronsson,Töreboda MK,4,29:41.6,21:06.9,21:50.6,24:02.1,22:41.9
165,Motion 40-49,999,Johan Törnqvist,FMCK Skövde,4,33:16.3,22:24.7,23:11.2,23:41.3,23:58.9
166,Motion -39,590,Tobias Hagelin,FMCK Borås,4,33:47.7,25:03.4,22:56.5,22:50.0,22:57.7
167,Motion -39,533,Jimmy Josefsson,Skene MS,3,52:10.9,16:53.4,17:17.9,17:59.5,
168,Motion -39,553,Petter Hedlund,Hallsbergs MK,3,54:25.6,17:46.5,17:59.6,18:39.4,
169,Motion 40-49,978,Johan Karlsson,Älvbygdens MK,3,55:57.2,18:07.4,18:39.8,19:09.9,
170,Motion 40-49,1020,Jonas Gustafsson,Götene MK,3,57:10.1,18:46.6,18:45.8,19:37.6,
171,Motion 40-49,975,Hannu Ylipekkala,Anderstorp RC,3,59:18.3,19:29.5,19:51.2,19:57.4,
172,Motion 40-49,919,Robert Ahlin,Falköpings MK,3,59:21.8,19:11.2,19:28.0,20:42.6,
173,Motion 40-49,942,Rikard Hofvander,Hallsbergs MK,3,00:44.3,20:20.7,19:57.4,20:26.0,
174,Motion -39,703,Martin Johansson,Skara MK,3,02:31.3,20:08.3,20:51.7,21:31.2,
175,Motion 40-49,963,Ronny Larsen,Flittig Enduro,3,03:25.9,20:49.4,20:53.0,21:43.4,
176,Motion -39,534,Richard Mickelsson,Tibro MK,3,04:40.2,21:14.6,21:33.3,21:52.2,
177,Motion 40-49,937,Henrik Olsson,Falköpings MK,3,05:05.5,20:43.0,22:13.1,22:09.3,
178,Motion 40-49,936,Per Karlsson,SMK Vadstena,3,07:08.9,21:20.0,21:20.7,24:28.1,
179,Motion 40-49,974,Ulric Karlsson,Tidaholms MK,3,07:15.6,20:09.8,20:56.0,26:09.7,
180,Motion 40-49,1121,Andreas Lambert Melander,Lilla Edets MCK,3,08:09.4,21:22.7,23:32.1,23:14.4,
181,Motion -39,563,Axel Virgin Ericsson,Götene MK,3,09:44.6,22:58.0,22:42.8,24:03.7,
182,Motion 40-49,1002,Andreas Sjöberg,Tibro MK,3,10:42.1,23:00.9,23:13.5,24:27.6,
183,Motion 40-49,983,Magnus Lilja,Älvbygdens MK,3,12:01.2,23:04.8,24:33.9,24:22.3,
184,Motion 40-49,1000,Christoffer Bergström,Försvarsmaktens EK,3,12:23.1,22:52.5,24:53.8,24:36.6,
185,Motion -39,575,David Reker Andersson,Falköpings MK,3,12:24.0,23:26.3,23:57.6,24:59.9,
186,Motion 40-49,914,Emil Kårlin,Lilla Edets MCK,3,12:44.7,23:01.1,23:35.7,26:07.7,
187,Motion 40-49,902,Andreas Sandberg,FMCK Borås,3,16:46.3,23:26.0,25:10.0,28:10.2,
188,Ungdom E1,183,Mille Söderblom,Hallsbergs MK,2,34:16.6,16:09.3,18:07.2,,
189,Motion -39,512,Eric Lindblad,Hjo MK,2,35:08.3,17:37.4,17:30.8,,
190,Motion -39,550,Eric Gustafsson,SMK Vingåker,2,37:27.4,20:50.7,16:36.7,,
191,Motion 40-49,996,Filip Starck,Norrahammars MK,2,38:17.0,17:10.7,21:06.3,,
192,Motion -39,525,Hans Palm,Norrahammars MK,2,41:30.0,20:32.5,20:57.4,,
193,Motion 40-49,965,Eric Ackeby,Beskaskinn MC,2,59:32.0,27:36.7,31:55.2,,
194,Motion -39,557,Wiktor Hjalmarsson,Oskarshamns MSK,1,17:47.7,17:47.7,,,
195,Ungdom E1,145,Wilmer Jansson,Tidaholms MK,1,30:18.8,30:18.8,,,
196,Motion 40-49,1003,Robert Blomquist,Flittig Enduro,0,00:00.0,,,,
