Plats,År,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
Tibro MK,2023,98,Motion 50-59,1246,Claes Gustafsson,Töreboda MK,KTM,25:45.2  26:54.9  25:16.4  ,3,17:56.6
,,,,,,,,,,
Tibro MK,2023,99,Motion 50-59,1414,Björn-Ola Kronander,FMCK Borås,Husqvarna,26:44.3  26:04.6  25:14.7  ,3,18:03.6
,,,,,,,,,,
Tibro MK,2023,100,Ungdom E0,8,Sigrid Gunnarsson,Ma Lerum,Husqvarna,28:22.0  26:36.0  24:13.5  ,3,19:11.7
,,,,,,,,,,
Tibro MK,2023,101,Motion 50-59,1271,Roger Nyström,FMCK Borås,Husqvarna,26:03.0  26:37.5  26:34.3  ,3,19:14.9
,,,,,,,,,,
Tibro MK,2023,102,Motion 60-,1510,Stefan Pettersen,Falköpings MK,KTM,26:51.4  27:21.0  25:22.0  ,3,19:34.5
,,,,,,,,,,
Tibro MK,2023,103,Ungdom E0,69,Pontus Martinez Johansson,Töreboda MK,Yamaha,27:24.5  26:43.5  25:26.6  ,3,19:34.7
,,,,,,,,,,
Tibro MK,2023,104,Ungdom E0,70,Melker Kihlgren,Hjo MK,KTM,29:07.4  25:55.5  24:34.7  ,3,19:37.8
,,,,,,,,,,
Tibro MK,2023,105,Ungdom E0,52,Alvis Petersson,Norrahammars MK,Kawasaki,30:36.4  26:40.7  25:40.0  ,3,22:57.1
,,,,,,,,,,
Tibro MK,2023,106,Ungdom E0,19,Douglas Sjöblom,SMK Värnamo,Husqvarna,19:57.5  19:39.7  ,2,39:37.2
,,,,,,,,,,
Tibro MK,2023,107,Ungdom E0,90,Charlie Bergsten,SMK Värnamo,GasGas,22:06.6  21:54.1  ,2,44:00.8
,,,,,,,,,,
Tibro MK,2023,108,Motion 50-59,1342,Mikael Wargbäck,FMCK Borås,KTM,26:50.0  27:57.2  ,2,54:47.3
,,,,,,,,,,
Tibro MK,2023,109,Ungdom E0,16,Knut Persson,Tibro MK,Husqvarna,28:00.8  28:30.3  ,2,56:31.1
,,,,,,,,,,
Tibro MK,2023,110,Motion Dam,459,Marie Gustafsson,Ulricehamns MK,Beta,28:54.3  29:38.7  ,2,58:33.0
,,,,,,,,,,
Tibro MK,2023,111,Ungdom E0,41,Kevin Brand Pettersson,Tibro MK,Husqvarna,29:23.2  35:05.2  ,2,04:28.5
,,,,,,,,,,
Tibro MK,2023,112,Ungdom E0,58,Alice Wahlström,Hallsbergs MK,Husqvarna,30:26.4  34:52.2  ,2,05:18.6
,,,,,,,,,,
Tibro MK,2023,113,Ungdom E0,26,Nils Kron,Falköpings MK,KTM,32:12.7  33:17.2  ,2,05:30.0
,,,,,,,,,,
Tibro MK,2023,114,Motion 50-59,1203,Peter Appelqvist,Kortedala MK,Yamaha,19:48.0  ,1,19:48.0
,,,,,,,,,,
Tibro MK,2023,115,Motion 50-59,1227,Anders Roth,Kristdala Motorsällskap,Sherco / Ostkustmx Racing Team,21:58.7  ,1,21:58.7
,,,,,,,,,,
Tibro MK,2023,116,Motion 50-59,1279,Stefan Johansson,FMCK Skövde,GasGas,22:46.5  ,1,22:46.5
,,,,,,,,,,
Tibro MK,2023,117,Ungdom E0,40,Isac Tornberg,Carlsborgs MK,GasGas,26:42.4  ,1,26:42.4
,,,,,,,,,,
