Tidaholms MK,2024,#,Namn,Klubb,Märke,Klass,Seeding
,,16,Otto Nilsson,Varbergs MK,KTM,Ungdom E0,133
,,978,Kim Dubriang,Limhamns MK,,Motion 40-49,134
,,22,Ellen Nilsson,Varbergs MK,KTM,Ungdom E0,135
,,26,Billy Bolmelid,Westerviks MSK,Husqvarna,Ungdom E0,136
,,973,Ola Daniel Strandvad,Viking,Sherco,Motion 40-49,137
,,43,Linus Utterberg,Norrahammars MK,Husqvarna,Ungdom E0,138
,,966,Jimmy Andersson,Stenungsunds MS,,Motion 40-49,139
,,99,Edwin Nilsson,Stenungsunds MS,KTM,Ungdom E0,140
,,15,Max Wennberg,SMK Värnamo,KTM,Ungdom E0,141
,,945,Markus Björklund,Hjo MK,Honda,Motion 40-49,142
,,931,Andreas Leth,Älvbygdens MK,Yamaha,Motion 40-49,143
,,927,Mikael Dalåsen,SMK Trollhättan,Beta,Motion 40-49,144
,,134,Max Nordmark,Hisingens MK,Honda,Junior,145
,,921,Mattias Roslund,Försvarsmaktens EK,Husqvarna,Motion 40-49,146
,,917,Fredrik Hassesjö,Kullings MS,KTM,Motion 40-49,147
,,916,Andreas Dahlström,Lidköpings MCK,,Motion 40-49,148
,,905,Per Norlander,Kullings MS,KTM,Motion 40-49,149
,,757,Simon Karlsson,Stenungsunds MS,Sherco,Motion -39,150
,,163,Erik Frisagård,Getinge MK,Yamaha,Ungdom E1,151
,,699,Razmus Karlsson,Fliseryd MK,Sherco,Motion -39,152
,,176,Leo Revelj,BMK Uddevalla,Husqvarna,Ungdom E1,153
,,622,Oscar Kalliomäki Berg,Lilla Edets MCK,Honda,Motion -39,154
,,937,David Rudhem,Lidköpings MCK,Yamaha,Motion 40-49,155
,,981,John Ulinder,Götene MK,,Motion 40-49,156
,,7,Hector Hjalmarsson,Tibro MK,Yamaha,Ungdom E0,157
,,1349,Patrik Johansson,Kinds MK,Honda,Motion 50-59,158
,,1341,Rickard Carlsson,FMCK BohusDal,,Motion 50-59,159
,,1316,Hans Eriksson,Örebro Enduroklubb,KTM,Motion 50-59,160
,,501,Robert Hjalmarsson,MK Pionjär,Husqvarna,Motion -39,161
,,1281,Daniel Seth,SMK Värnamo,Husqvarna,Motion 50-59,162
,,1277,Håkan Göransson,Götene MK,,Motion 50-59,163
,,1270,Lars Börjesson,Tibro MK,Stark Varg,Motion 50-59,164
,,1244,Thomas Johansson,Götene MK,Yamaha,Motion 50-59,165
,,1242,Tomas Kvarnström,Solshesters MCK,Husqvarna,Motion 50-59,166
,,1241,Magnus Ahlgren,Götene MK,Yamaha,Motion 50-59,167
,,1240,Patrick Allenby,FMCK Skövde,KTM,Motion 50-59,168
,,1235,Patrik Högberg,Lilla Edets MCK,KTM,Motion 50-59,169
,,188,Alexander Wallberg,Älvbygdens MK,Husqvarna,Junior,170
,,186,Felix Johansson,Skene MS,Yamaha,Ungdom E1,171
,,1222,Jonas Laigar,Tranemo MK,Kawasaki,Motion 50-59,172
,,505,Viktor Blom,Skene MS,Yamaha,Motion -39,173
,,482,Julia Hettström,Linköpings MS,Husqvarna,Motion Dam,174
,,1204,Patrick Hylén,Kortedala MK,Yamaha,Motion 50-59,175
,,506,Robert Stafsing,Varbergs MK,Husqvarna,Motion -39,176
,,177,William Skärkarl,Oskarshamns MSK,KTM,Junior,177
,,145,Oscar Lindskog,SMK Eksjö MC & US,Husqvarna,Junior,178
,,2,Adrian Gran,FMCK Skövde,KTM,Ungdom E0,179
,,5,Albin Ekström,Tibro MK,GasGas,Ungdom E0,180
,,6,Olle Persson,Örebro MK,KTM,Ungdom E0,181
,,1202,Per-Olov Ask,Lilla Edets MCK,KTM,Motion 50-59,182
,,1237,Roger Beinerfelt,Linköpings MS,TM,Motion 50-59,183
